"n_SportID","n_SportTypeID","c_Sport","c_SportShort","n_Season","c_Season","c_Edition","n_EventPhaseID","n_ActiveNavigationPhaseID","n_EventID","n_EventTypeID","c_Event","c_EventShort","n_EventSort","n_GenderID","c_Gender","c_GenderShort","n_GenderEventID","c_GenderEvent","c_GenderEventShort","d_DateStartLocal","c_DateStartLocal","d_DateStartUTC","c_DateStartUTC","d_DateEndLocal","c_DateEndLocal","d_DateEndUTC","c_DateEndUTC","n_VenueGeoID","c_Venue","n_LocationGeoID","c_Location","n_CountryGeoID","c_Country","c_CountryShort","b_StartList","b_Started","b_Finished","b_HasTablePhases","n_Rank1ParticipantTypeID","c_Rank1Participant","c_Rank1ParticipantShort","n_Rank1PersonID","n_Rank1TeamID","n_Rank1NOCID","n_Rank1NOCGeoID","c_Rank1NOCGeoID","c_Rank1NOC","c_Rank1NOCShort","n_Rank1TeamMember1PersonID","c_Rank1TeamMember1Person","c_Rank1TeamMember1PersonShort","n_Rank1TeamMember2PersonID","c_Rank1TeamMember2Person","c_Rank1TeamMember2PersonShort","n_Rank2ParticipantTypeID","c_Rank2Participant","c_Rank2ParticipantShort","n_Rank2PersonID","n_Rank2TeamID","n_Rank2NOCID","n_Rank2NOCGeoID","c_Rank2NOCGeoID","c_Rank2NOC","c_Rank2NOCShort","n_Rank2TeamMember1PersonID","c_Rank2TeamMember1Person","c_Rank2TeamMember1PersonShort","n_Rank2TeamMember2PersonID","c_Rank2TeamMember2Person","c_Rank2TeamMember2PersonShort","n_Rank3ParticipantTypeID","c_Rank3Participant","c_Rank3ParticipantShort","n_Rank3PersonID","n_Rank3TeamID","n_Rank3NOCID","n_Rank3NOCGeoID","c_Rank3NOCGeoID","c_Rank3NOC","c_Rank3NOCShort","n_Rank3TeamMember1PersonID","c_Rank3TeamMember1Person","c_Rank3TeamMember1PersonShort","n_Rank3TeamMember2PersonID","c_Rank3TeamMember2Person","c_Rank3TeamMember2PersonShort","c_RSCCode"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937888,1937888,10082,1,"20km Individual","Individual",10010,1,"Men","M",6284,"Men's 20km Individual","Men's 20km Individual","/Date(1644337800000+0000)/","2022-02-08T16:30:00","/Date(1644309000000+0000)/","2022-02-08T08:30:00","/Date(1644344100000+0000)/","2022-02-08T18:15:00","/Date(1644315300000+0000)/","2022-02-08T10:15:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"FILLON MAILLET Quentin","FILLON MAILLET Q",923163,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"SMOLSKI Anton","SMOLSKI A",1362517,2369,103,4387,"4387","Belarus","BLR",NA,NA,NA,NA,NA,NA,1,"BOE Johannes Thingnes","BOE JT",980251,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"BTHM20KMIS------------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937884,1937884,10076,1,"10km Sprint","Sprint",10130,1,"Men","M",2499,"Men's 10km Sprint","Men's 10km Sprint","/Date(1644685200000+0000)/","2022-02-12T17:00:00","/Date(1644656400000+0000)/","2022-02-12T09:00:00","/Date(1644689700000+0000)/","2022-02-12T18:15:00","/Date(1644660900000+0000)/","2022-02-12T10:15:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"BOE Johannes Thingnes","BOE JT",980251,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"FILLON MAILLET Quentin","FILLON MAILLET Q",923163,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"BOE Tarjei","BOE T",708876,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"BTHM10KMSP------------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937886,1937886,10079,1,"12.5km Pursuit","Pursuit",10200,1,"Men","M",5901,"Men's 12.5km Pursuit","Men's 12.5km Pursuit","/Date(1644777900000+0000)/","2022-02-13T18:45:00","/Date(1644749100000+0000)/","2022-02-13T10:45:00","/Date(1644780300000+0000)/","2022-02-13T19:25:00","/Date(1644751500000+0000)/","2022-02-13T11:25:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"FILLON MAILLET Quentin","FILLON MAILLET Q",923163,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"BOE Tarjei","BOE T",708876,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"LATYPOV Eduard","LATYPOV E",1137029,475655,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"BTHM12.5KMPU----------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937890,1937890,10081,1,"15km Mass Start","Mass Start",10300,1,"Men","M",3855,"Men's 15km Mass Start","Men's 15km Mass Start","/Date(1645203600000+0000)/","2022-02-18T17:00:00","/Date(1645174800000+0000)/","2022-02-18T09:00:00","/Date(1645206300000+0000)/","2022-02-18T17:45:00","/Date(1645177500000+0000)/","2022-02-18T09:45:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"BOE Johannes Thingnes","BOE JT",980251,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"PONSILUOMA Martin","PONSILUOMA M",1245820,747,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"CHRISTIANSEN Vetle Sjaastad","CHRISTIANSEN VS",823293,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"BTHM15KMMS------------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937893,1937893,10084,4,"4 x 7.5km Relay","Relay",10420,1,"Men","M",6425,"Men's 4x7.5km Relay","Men's 4x7.5km Relay","/Date(1644935400000+0000)/","2022-02-15T14:30:00","/Date(1644906600000+0000)/","2022-02-15T06:30:00","/Date(1644939900000+0000)/","2022-02-15T15:45:00","/Date(1644911100000+0000)/","2022-02-15T07:45:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"Norway","NOR",-1,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,4,"France","FRA",NA,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,4,"ROC","ROC",NA,475655,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"BTHM4X7.5KM-----------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937887,1937887,10080,1,"15km Individual","Individual",10020,2,"Women","W",2747,"Women's 15km Individual","Women's 15km Individual","/Date(1644253200000+0000)/","2022-02-07T17:00:00","/Date(1644224400000+0000)/","2022-02-07T09:00:00","/Date(1644259200000+0000)/","2022-02-07T18:40:00","/Date(1644230400000+0000)/","2022-02-07T10:40:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"HERRMANN Denise","HERRMANN D",703233,1084,2,2206,"2206","Germany","GER",NA,NA,NA,NA,NA,NA,1,"CHEVALIER-BOUCHET Anais","CHEVALIER-BOUCHET A",844445,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M",918902,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"BTHW15KMIS------------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937883,1937883,10085,1,"7.5km Sprint","7.5km SP",10140,2,"Women","W",6148,"Women's 7.5km Sprint","Women's 7.5km Sprint","/Date(1644598800000+0000)/","2022-02-11T17:00:00","/Date(1644570000000+0000)/","2022-02-11T09:00:00","/Date(1644603000000+0000)/","2022-02-11T18:10:00","/Date(1644574200000+0000)/","2022-02-11T10:10:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M",918902,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"OBERG Elvira","OBERG E",1632804,747,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"WIERER Dorothea","WIERER D",717491,1233,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,"BTHW7.5KMSP-----------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937885,1937885,10075,1,"10km Pursuit","Pursuit",10210,2,"Women","W",3603,"Women's 10km Pursuit","Women's 10km Pursuit","/Date(1644771600000+0000)/","2022-02-13T17:00:00","/Date(1644742800000+0000)/","2022-02-13T09:00:00","/Date(1644774000000+0000)/","2022-02-13T17:40:00","/Date(1644745200000+0000)/","2022-02-13T09:40:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M",918902,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"OBERG Elvira","OBERG E",1632804,747,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"ECKHOFF Tiril","ECKHOFF T",720075,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"BTHW10KMPU------------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937889,1937889,10078,1,"12.5km Mass Start","Mass Start",10310,2,"Women","W",1919,"Women's 12.5km Mass Start","Women's 12.5km Mass Start","/Date(1645196400000+0000)/","2022-02-18T15:00:00","/Date(1645167600000+0000)/","2022-02-18T07:00:00","/Date(1645199100000+0000)/","2022-02-18T15:45:00","/Date(1645170300000+0000)/","2022-02-18T07:45:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"BRAISAZ-BOUCHET Justine","BRAISAZ-BOUCHET J",1137047,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"ECKHOFF Tiril","ECKHOFF T",720075,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M",918902,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"BTHW12.5KMMS----------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937892,1937892,10784,4,"4 x 6km Relay","Relay",10410,2,"Women","W",6369,"Women's 4x6km Relay","Women's 4x6km Relay","/Date(1645026300000+0000)/","2022-02-16T15:45:00","/Date(1644997500000+0000)/","2022-02-16T07:45:00","/Date(1645030800000+0000)/","2022-02-16T17:00:00","/Date(1645002000000+0000)/","2022-02-16T09:00:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"Sweden","SWE",-1,747,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,4,"ROC","ROC",NA,475655,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,4,"Germany","GER",NA,1084,2,2206,"2206","Germany","GER",NA,NA,NA,NA,NA,NA,"BTHW4X6KM-------------FNL-000100--"
218,3,"Biathlon","BTH",20212022,"2021/2022","2022",1937891,1937891,10784,4,"4 x 6km Relay","Relay",10410,4,"Mixed","X",6489,"Mixed 4x6km Relay","Mixed 4x6km Relay","/Date(1644080400000+0000)/","2022-02-05T17:00:00","/Date(1644051600000+0000)/","2022-02-05T09:00:00","/Date(1644084900000+0000)/","2022-02-05T18:15:00","/Date(1644056100000+0000)/","2022-02-05T10:15:00",73853,"Zhangjiakou Biathlon Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"Norway","NOR",-1,296,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,4,"France","FRA",NA,2516,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,4,"ROC","ROC",NA,475655,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"BTHXRELAY4------------FNL-000100--"
