"n_SportID","n_SportTypeID","c_Sport","c_SportShort","n_Season","c_Season","c_Edition","n_EventMatchID","n_ActiveNavigationMatchID","n_EventID","n_EventTypeID","c_Event","c_EventShort","n_EventSort","n_GenderID","c_Gender","c_GenderShort","n_GenderEventID","c_GenderEvent","c_GenderEventShort","d_DateStartLocal","c_DateStartLocal","d_DateStartUTC","c_DateStartUTC","d_DateEndLocal","c_DateEndLocal","d_DateEndUTC","c_DateEndUTC","n_VenueGeoID","c_Venue","n_LocationGeoID","c_Location","n_CountryGeoID","c_Country","c_CountryShort","b_StartList","b_Started","b_Finished","b_HasTableMatchs","n_Rank1ParticipantTypeID","c_Rank1Participant","c_Rank1ParticipantShort","n_Rank1PersonID","n_Rank1TeamID","n_Rank1NOCID","n_Rank1NOCGeoID","c_Rank1NOCGeoID","c_Rank1NOC","c_Rank1NOCShort","n_Rank1TeamMember1PersonID","c_Rank1TeamMember1Person","c_Rank1TeamMember1PersonShort","n_Rank1TeamMember2PersonID","c_Rank1TeamMember2Person","c_Rank1TeamMember2PersonShort","n_Rank2ParticipantTypeID","c_Rank2Participant","c_Rank2ParticipantShort","n_Rank2PersonID","n_Rank2TeamID","n_Rank2NOCID","n_Rank2NOCGeoID","c_Rank2NOCGeoID","c_Rank2NOC","c_Rank2NOCShort","n_Rank2TeamMember1PersonID","c_Rank2TeamMember1Person","c_Rank2TeamMember1PersonShort","n_Rank2TeamMember2PersonID","c_Rank2TeamMember2Person","c_Rank2TeamMember2PersonShort","n_Rank3ParticipantTypeID","c_Rank3Participant","c_Rank3ParticipantShort","n_Rank3PersonID","n_Rank3TeamID","n_Rank3NOCID","n_Rank3NOCGeoID","c_Rank3NOCGeoID","c_Rank3NOC","c_Rank3NOCShort","n_Rank3TeamMember1PersonID","c_Rank3TeamMember1Person","c_Rank3TeamMember1PersonShort","n_Rank3TeamMember2PersonID","c_Rank3TeamMember2Person","c_Rank3TeamMember2PersonShort","c_RSCCode"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937864,2412654,12116,1,"Sprint Freestyle","SP F",10002,1,"Men","M",4397,"Men's Individual Sprint","Men's Individual Sprint","/Date(1644338700000+0000)/","2022-02-08T16:45:00","/Date(1644309900000+0000)/","2022-02-08T08:45:00","/Date(1644351390000+0000)/","2022-02-08T20:16:30","/Date(1644322590000+0000)/","2022-02-08T12:16:30",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"KLAEBO Johannes Hoesflot","KLAEBO JH",1356911,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"PELLEGRINO Federico","PELLEGRINO F",774322,855,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,1,"TERENTEV Alexander","TERENTEV A",1629704,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"CCSMSPRINT------------SFNL000500--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937870,1937870,10099,1,"15km Classic Style","15km C",10120,1,"Men","M",4902,"Men's 15km Individual","Men's 15km Individual","/Date(1644591600000+0000)/","2022-02-11T15:00:00","/Date(1644562800000+0000)/","2022-02-11T07:00:00","/Date(1644596700000+0000)/","2022-02-11T16:25:00","/Date(1644567900000+0000)/","2022-02-11T08:25:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"NISKANEN Iivo","NISKANEN I",839516,740,161,2237,"2237","Finland","FIN",NA,NA,NA,NA,NA,NA,1,"BOLSHUNOV Alexander","BOLSHUNOV A",1356894,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"KLAEBO Johannes Hoesflot","KLAEBO JH",1356911,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"CCSM15KMIS------------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937872,1937872,10114,1,"50km Freestyle","50km F",10230,1,"Men","M",3342,"Men's 50km Mass Start","Men's 50km Mass Start","/Date(1645282800000+0000)/","2022-02-19T15:00:00","/Date(1645254000000+0000)/","2022-02-19T07:00:00","/Date(1645291500000+0000)/","2022-02-19T17:25:00","/Date(1645262700000+0000)/","2022-02-19T09:25:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"BOLSHUNOV Alexander","BOLSHUNOV A",1356894,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"YAKIMUSHKIN Ivan","YAKIMUSHKIN I",1345702,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"KRUEGER Simen Hegstad","KRUEGER SH",1018376,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"CCSM50KMMS------------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937862,1937862,10862,1,"30km Skiathlon","15km/15km",10264,1,"Men","M",5698,"Men's 30km Skiathlon","Men's 30km Skiathlon","/Date(1644159600000+0000)/","2022-02-06T15:00:00","/Date(1644130800000+0000)/","2022-02-06T07:00:00","/Date(1644164700000+0000)/","2022-02-06T16:25:00","/Date(1644135900000+0000)/","2022-02-06T08:25:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"BOLSHUNOV Alexander","BOLSHUNOV A",1356894,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"SPITSOV Denis","SPITSOV D",1240546,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"NISKANEN Iivo","NISKANEN I",839516,740,161,2237,"2237","Finland","FIN",NA,NA,NA,NA,NA,NA,"CCSMSKIATHLN----------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937868,1937868,10110,4,"4 x 10km Relay","4x10km R",10280,1,"Men","M",2310,"Men's 4x10km Relay","Men's 4x10km Relay","/Date(1644764400000+0000)/","2022-02-13T15:00:00","/Date(1644735600000+0000)/","2022-02-13T07:00:00","/Date(1644770100000+0000)/","2022-02-13T16:35:00","/Date(1644741300000+0000)/","2022-02-13T08:35:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"ROC","ROC",-1,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,4,"Norway","NOR",NA,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,4,"France","FRA",NA,2598,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,"CCSM4X10KM------------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937866,2412673,12117,4,"Team Sprint Classic Style","TSP C",10290,1,"Men","M",679,"Men's Team Sprint","Men's Team Sprint","/Date(1645028100000+0000)/","2022-02-16T16:15:00","/Date(1644999300000+0000)/","2022-02-16T08:15:00","/Date(1645035300000+0000)/","2022-02-16T18:15:00","/Date(1645006500000+0000)/","2022-02-16T10:15:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,2,"Norway","NOR",-1,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,2,"Finland","FIN",NA,740,161,2237,"2237","Finland","FIN",NA,NA,NA,NA,NA,NA,2,"ROC","ROC",NA,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"CCSMTEAMSP2-----------SFNL000200--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937865,2412665,12116,1,"Sprint Freestyle","SP F",10002,2,"Women","W",204,"Women's Individual Sprint","Women's Individual Sprint","/Date(1644336000000+0000)/","2022-02-08T16:00:00","/Date(1644307200000+0000)/","2022-02-08T08:00:00","/Date(1644350640000+0000)/","2022-02-08T20:04:00","/Date(1644321840000+0000)/","2022-02-08T12:04:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"SUNDLING Jonna","SUNDLING J",1018286,258,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"DAHLQVIST Maja","DAHLQVIST M",1240378,258,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"DIGGINS Jessie","DIGGINS J",774305,773,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,"CCSWSPRINT------------SFNL000500--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937871,1937871,10095,1,"10km Classic Style","10km C",10080,2,"Women","W",7541,"Women's 10km Individual","Women's 10km Individual","/Date(1644505200000+0000)/","2022-02-10T15:00:00","/Date(1644476400000+0000)/","2022-02-10T07:00:00","/Date(1644509700000+0000)/","2022-02-10T16:15:00","/Date(1644480900000+0000)/","2022-02-10T08:15:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"JOHAUG Therese","JOHAUG T",656055,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"NISKANEN Kerttu","NISKANEN K",703248,740,161,2237,"2237","Finland","FIN",NA,NA,NA,NA,NA,NA,1,"PARMAKOSKI Krista","PARMAKOSKI K",721248,740,161,2237,"2237","Finland","FIN",NA,NA,NA,NA,NA,NA,"CCSW10KMIS------------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937873,1937873,10109,1,"30km Freestyle","30km F",10200,2,"Women","W",5765,"Women's 30km Mass Start","Women's 30km Mass Start","/Date(1645354800000+0000)/","2022-02-20T11:00:00","/Date(1645326000000+0000)/","2022-02-20T03:00:00","/Date(1645360800000+0000)/","2022-02-20T12:40:00","/Date(1645332000000+0000)/","2022-02-20T04:40:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"JOHAUG Therese","JOHAUG T",656055,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"DIGGINS Jessie","DIGGINS J",774305,773,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"NISKANEN Kerttu","NISKANEN K",703248,740,161,2237,"2237","Finland","FIN",NA,NA,NA,NA,NA,NA,"CCSW30KMMS------------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937863,1937863,10861,1,"15km Skiathlon","7.5km/7.5km",10262,2,"Women","W",842,"Women's 15km Skiathlon","Women's 15km Skiathlon","/Date(1644075900000+0000)/","2022-02-05T15:45:00","/Date(1644047100000+0000)/","2022-02-05T07:45:00","/Date(1644078900000+0000)/","2022-02-05T16:35:00","/Date(1644050100000+0000)/","2022-02-05T08:35:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"JOHAUG Therese","JOHAUG T",656055,672,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"NEPRYAEVA Natalia","NEPRYAEVA N",1135218,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"STADLOBER Teresa","STADLOBER T",1018377,468,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,"CCSWSKIATHLN----------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937869,1937869,10111,4,"4 x 5km Relay","4x5km R",10270,2,"Women","W",3734,"Women's 4x5km Relay","Women's 4x5km Relay","/Date(1644679800000+0000)/","2022-02-12T15:30:00","/Date(1644651000000+0000)/","2022-02-12T07:30:00","/Date(1644683100000+0000)/","2022-02-12T16:25:00","/Date(1644654300000+0000)/","2022-02-12T08:25:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"ROC","ROC",-1,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,4,"Germany","GER",NA,1236,2,2206,"2206","Germany","GER",NA,NA,NA,NA,NA,NA,4,"Sweden","SWE",NA,258,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,"CCSW4X5KM-------------FNL-000100--"
220,3,"Cross-Country Skiing","CCS",20212022,"2021/2022","2022",1937867,2412696,12117,4,"Team Sprint Classic Style","TSP C",10290,2,"Women","W",4004,"Women's Team Sprint","Women's Team Sprint","/Date(1645024500000+0000)/","2022-02-16T15:15:00","/Date(1644995700000+0000)/","2022-02-16T07:15:00","/Date(1645033500000+0000)/","2022-02-16T17:45:00","/Date(1645004700000+0000)/","2022-02-16T09:45:00",73854,"Zhangjiakou Cross-Country Centre",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,2,"Germany","GER",-1,1236,2,2206,"2206","Germany","GER",NA,NA,NA,NA,NA,NA,2,"Sweden","SWE",NA,258,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,2,"ROC","ROC",NA,475657,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"CCSWTEAMSP2-----------SFNL000200--"
